;Navn:;a;;Check for duplicates:;;a;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Emne;Tema;Gr. ;Uke nr. ;Dato;Dag;Tid;Tidspunkt;Foreleser;Rom;Undervisningsform;Kommentarer;Oppgaver/innleveringer;Helper1 (Date + Time + Name);Helper2 (Date + Time + Room);Helper1 Instance;Helper2 Instance;Check for Duplicates
;BI-IDR1401;Innebandy;A;5;29.jan;mandag;4;14:15-15:45;Fredrik Lie Haugen;Idrettshall;Praktisk;Må dele hallen;;4312914:15-15:45Fredrik Lie Haugen;4312914:15-15:45Idrettshall;1;2;2
;BI-IDR1401;Dans;B;5;30.jan;tirsdag;1;08:15-09:45;???;Dansesal;Praktisk;;;4313008:15-09:45???;4313008:15-09:45Dansesal;1;1;1
;G2-KRO1300;Innebandy;;5;30.jan;tirsdag;1;08:15-09:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4313008:15-09:45Fredrik Lie Haugen;4313008:15-09:45Idrettshall;1;1;1
;BI-IDR1301;Kollokvie;B;5;30.jan;tirsdag;2;10:15-11:45;Markus Vagle;;Teori;;;4313010:15-11:45Markus Vagle;4313010:15-11:45;1;1;1
;BI-IDR1401;Dans;A;5;30.jan;tirsdag;2;10:15-11:45;???;Dansesal;Praktisk;;;4313010:15-11:45???;4313010:15-11:45Dansesal;1;1;1
;G2-KRO1300;Håndball;;5;30.jan;tirsdag;2;10:15-11:45;Eivind Andersen;Idrettshall;Praktisk;;;4313010:15-11:45Eivind Andersen;4313010:15-11:45Idrettshall;1;1;1
;BI-IDR1301;Kollokvie;A;5;30.jan;tirsdag;3;12:15-13:45;Markus Vagle;;Teori;;;4313012:15-13:45Markus Vagle;4313012:15-13:45;1;1;1
;BI-IDR1401;Skøyter;B;5;30.jan;tirsdag;3;12:15-13:45;???;Ute;Praktisk;;;4313012:15-13:45???;4313012:15-13:45Ute;1;1;1
;G1-KRO1100;Turn;;5;30.jan;tirsdag;3;12:15-13:45;Simen Thorrud;Idrettshall;Praktisk;;;4313012:15-13:45Simen Thorrud;4313012:15-13:45Idrettshall;1;1;1
;BI-FAH2300;Økt 4;;5;30.jan;tirsdag;e;12:15-15:45;Anne Sæther;;Teori;;;4313012:15-15:45Anne Sæther;4313012:15-15:45;1;1;1
;BI-IDR1401;Skøyter;A;5;30.jan;tirsdag;4;14:15-15:45;???;Ute;Praktisk;;;4313014:15-15:45???;4313014:15-15:45Ute;1;1;1
;G1-KRO1100;Studentinstruksjon;;5;30.jan;tirsdag;4;14:15-15:45;Simen Thorrud;Idrettshall;Praktisk;;;4313014:15-15:45Simen Thorrud;4313014:15-15:45Idrettshall;1;1;1
;G1-KRO1100;Svømming;;5;31.jan;onsdag;1;08:15-09:45;Simen Thorrud;Svømmehall;Praktisk;;;4313108:15-09:45Simen Thorrud;4313108:15-09:45Svømmehall;1;1;1
